epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.346,1.4217,2.55788,1.36892,0.42202,0.41639,0.37057,0.20828,1.44959,1.9979,1.40264,0.000207661,0.000207661,0.000207661
2,267.443,1.4857,2.21054,1.4296,0.40225,0.35605,0.33414,0.18184,1.58767,2.15608,1.52337,0.000407758,0.000407758,0.000407758
3,394.474,1.54518,2.2317,1.47319,0.43255,0.34989,0.31411,0.16922,1.64293,2.21321,1.5672,0.000599605,0.000599605,0.000599605
4,519.823,1.56325,2.20995,1.49533,0.37598,0.37175,0.32339,0.17681,1.6086,2.15924,1.57492,0.000587875,0.000587875,0.000587875
5,647.997,1.54129,2.1534,1.47858,0.41121,0.37324,0.33103,0.18332,1.57377,2.12512,1.53078,0.0005755,0.0005755,0.0005755
6,775.07,1.51968,2.06841,1.45936,0.43846,0.42448,0.39193,0.22101,1.56233,1.95649,1.51183,0.000563125,0.000563125,0.000563125
7,905.509,1.48634,2.00136,1.44337,0.45698,0.43144,0.40144,0.22498,1.56363,1.9348,1.524,0.00055075,0.00055075,0.00055075
8,1034.34,1.47378,1.95639,1.42758,0.50156,0.40969,0.43147,0.24892,1.51003,1.88015,1.47286,0.000538375,0.000538375,0.000538375
9,1165.97,1.43758,1.88406,1.4086,0.47549,0.44064,0.42669,0.2432,1.5297,1.85069,1.46523,0.000526,0.000526,0.000526
10,1292.95,1.42737,1.83517,1.40063,0.52212,0.45879,0.4688,0.27066,1.48995,1.74631,1.45692,0.000513625,0.000513625,0.000513625
11,1422.13,1.41382,1.78223,1.39106,0.50082,0.45609,0.46278,0.26695,1.49487,1.78379,1.44722,0.00050125,0.00050125,0.00050125
12,1549.82,1.39178,1.72761,1.37617,0.52005,0.46059,0.46363,0.27236,1.4642,1.71571,1.44114,0.000488875,0.000488875,0.000488875
13,1679.21,1.3914,1.74938,1.37488,0.54474,0.5053,0.50888,0.30052,1.44069,1.63164,1.41748,0.0004765,0.0004765,0.0004765
14,1811.15,1.37163,1.66183,1.35936,0.52243,0.45809,0.46189,0.2725,1.47499,1.71771,1.43453,0.000464125,0.000464125,0.000464125
15,1939.96,1.34927,1.63599,1.34857,0.57912,0.46462,0.50898,0.30721,1.43683,1.62653,1.41316,0.00045175,0.00045175,0.00045175
16,2071.48,1.33916,1.58257,1.33586,0.53857,0.48747,0.49931,0.29828,1.42999,1.64458,1.39418,0.000439375,0.000439375,0.000439375
17,2202.78,1.33101,1.56626,1.32939,0.55465,0.50542,0.50984,0.30365,1.43204,1.62704,1.39816,0.000427,0.000427,0.000427
18,2333.63,1.32194,1.54346,1.33076,0.55779,0.51199,0.51108,0.30513,1.42116,1.62728,1.39127,0.000414625,0.000414625,0.000414625
19,2460.6,1.29585,1.50545,1.31171,0.58053,0.50747,0.52357,0.31362,1.41946,1.5961,1.39873,0.00040225,0.00040225,0.00040225
20,2586.84,1.30296,1.50124,1.31667,0.59502,0.51771,0.54533,0.32857,1.40968,1.532,1.38506,0.000389875,0.000389875,0.000389875
21,2714.6,1.29556,1.45641,1.30337,0.58462,0.50529,0.53396,0.32433,1.40322,1.54339,1.37677,0.0003775,0.0003775,0.0003775
22,2845.42,1.27608,1.42897,1.29004,0.57327,0.5185,0.52901,0.32198,1.39917,1.56207,1.37471,0.000365125,0.000365125,0.000365125
23,2974.58,1.27102,1.39616,1.28661,0.57541,0.50497,0.536,0.32595,1.41533,1.56014,1.38466,0.00035275,0.00035275,0.00035275
24,3104.89,1.26158,1.37148,1.28228,0.59215,0.52172,0.54389,0.32739,1.41734,1.53949,1.38107,0.000340375,0.000340375,0.000340375
25,3233.47,1.24524,1.33405,1.26422,0.61061,0.51486,0.54775,0.3317,1.39562,1.51042,1.367,0.000328,0.000328,0.000328
26,3366.58,1.23855,1.30273,1.27046,0.60471,0.52734,0.55361,0.33882,1.39498,1.50484,1.37834,0.000315625,0.000315625,0.000315625
27,3498.72,1.23196,1.29621,1.26362,0.60504,0.51805,0.54219,0.33279,1.38152,1.52419,1.36308,0.00030325,0.00030325,0.00030325
28,3630.93,1.22258,1.26242,1.25683,0.5883,0.52845,0.54799,0.3375,1.38,1.51629,1.37023,0.000290875,0.000290875,0.000290875
29,3762.57,1.21153,1.2442,1.24758,0.62104,0.52515,0.55516,0.34116,1.38513,1.49932,1.35902,0.0002785,0.0002785,0.0002785
30,3894.81,1.19398,1.22304,1.23853,0.61348,0.52504,0.55799,0.34158,1.38471,1.50243,1.36742,0.000266125,0.000266125,0.000266125
31,4025.65,1.1922,1.18566,1.23682,0.61231,0.52715,0.56243,0.34165,1.39994,1.48186,1.37211,0.00025375,0.00025375,0.00025375
32,4152.75,1.18285,1.17162,1.23055,0.60784,0.53848,0.57349,0.3525,1.37491,1.45018,1.35879,0.000241375,0.000241375,0.000241375
33,4281.42,1.17614,1.14375,1.22591,0.6279,0.51504,0.55922,0.34307,1.38399,1.49506,1.36349,0.000229,0.000229,0.000229
34,4409.5,1.16434,1.11515,1.21889,0.61591,0.52698,0.55675,0.34351,1.39719,1.4961,1.36759,0.000216625,0.000216625,0.000216625
35,4538.2,1.15334,1.09613,1.20872,0.60751,0.54976,0.56864,0.34863,1.38503,1.47154,1.36728,0.00020425,0.00020425,0.00020425
36,4665.4,1.15215,1.08601,1.20675,0.6331,0.54547,0.57696,0.35722,1.37027,1.47075,1.3549,0.000191875,0.000191875,0.000191875
37,4792.32,1.14383,1.05837,1.19618,0.64243,0.52045,0.55987,0.34528,1.38376,1.50422,1.3624,0.0001795,0.0001795,0.0001795
38,4923.41,1.13326,1.04879,1.19601,0.62945,0.53028,0.56804,0.35275,1.3794,1.47113,1.36199,0.000167125,0.000167125,0.000167125
